dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:51 2021'), ('position', (3.57, 73.48, 0.0)), ('rssi', -82.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:52 2021'), ('position', (3.97, 74.2, 0.0)), ('rssi', -82.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:53 2021'), ('position', (4.36, 74.92, 0.0)), ('rssi', -82.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:54 2021'), ('position', (4.75, 75.65, 0.0)), ('rssi', -82.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:55 2021'), ('position', (5.14, 76.37, 0.0)), ('rssi', -83.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:56 2021'), ('position', (5.54, 77.09, 0.0)), ('rssi', -83.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:57 2021'), ('position', (5.93, 77.81, 0.0)), ('rssi', -83.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:58 2021'), ('position', (6.32, 78.53, 0.0)), ('rssi', -83.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:59 2021'), ('position', (6.71, 79.26, 0.0)), ('rssi', -83.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:52:00 2021'), ('position', (7.11, 79.98, 0.0)), ('rssi', -83.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:52:01 2021'), ('position', (7.5, 79.3, 0.0)), ('rssi', -83.0)])
